"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Andruw Jones","- - -","CF","1334","1311","11549.2","3389","60","25","15","2","8","8","0","1","","","","","",".993","52","96"
"Mike Matheny","- - -","C","789","732","6451.1","4696","403","16","1","6","27","26","7","8","","282","181","28","174",".997","32","1169"
"Todd Helton","COL","1B","1868","1831","15984.1","16418","1462","63","35","19","1587","134","6","1355","309","","","","",".996","25","432"
"David Bell","- - -","3B","886","837","7459.1","560","1723","107","48","32","134","103","3","6","","","","","",".955","21","1108"
"Vinny Castilla","- - -","3B","870","856","7513.2","651","1661","72","34","12","141","100","4","12","","","","","",".970","20","84"
"Bengie Molina","- - -","C","1253","1204","10487.0","7931","639","50","7","30","21","38","10","8","","665","300","75","430",".994","19","24"
"John Olerud","- - -","1B","824","753","6788.1","6077","598","25","10","1","622","36","7","359","51","","","","",".996","19","1093"
"Scott Rolen","- - -","3B","1561","1533","13438.2","1059","3189","130","75","30","248","224","6","11","","","","","",".970","18","970"
"Torii Hunter","- - -","CF","1410","1397","12122.0","3691","73","29","16","6","6","9","0","0","","","","","",".992","16","731"
"Bobby Abreu","- - -","RF","1654","1615","14185.1","3115","101","59","39","7","6","15","0","0","","","","","",".982","16","945"
"Ivan Rodriguez","- - -","C","1295","1251","10831.2","8096","576","66","10","44","37","34","14","18","","401","272","56","436",".992","16","1275"
"Ichiro Suzuki","- - -","RF","1970","1857","16568.0","4003","99","35","18","14","2","21","0","0","","","","","",".992","15","1101"
"Carlos Beltran","- - -","CF","1404","1395","12211.0","3697","93","47","22","14","8","19","0","0","","","","","",".988","14","589"
"Mike Cameron","- - -","CF","1396","1350","12040.2","3707","57","47","27","8","5","10","0","1","","","","","",".988","13","1070"
"Corey Koskie","- - -","3B","819","801","7062.1","585","1548","73","25","20","113","71","2","3","","","","","",".967","12","738"
"Orlando Cabrera","- - -","SS","1685","1661","14501.1","2575","4677","175","96","57","969","402","390","78","","","","","",".976","12","766"
"Joe Randa","- - -","3B","854","841","7284.1","695","1552","76","22","22","129","75","0","5","","","","","",".967","11","623"
"Luis Gonzalez","- - -","LF","1220","1207","10486.2","2058","41","25","20","2","2","4","0","0","","","","","",".988","10","55"
"Tony Batista","- - -","3B","770","758","6733.2","506","1498","93","44","16","150","96","7","10","","","","","",".956","10","124"
