"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","OAA","DRS","playerid"
"Francisco Lindor","- - -","SS","341","339","2916.0","437","788","20","10","10","160","79","84","8","","","","","",".984","","42","5","12916"
"Sean Murphy","OAK","C","271","259","2266.2","2085","96","16","6","9","1","5","2","4","","98","38","7","79",".993","","","13","19352"
"J.T. Realmuto","PHI","C","287","277","2395.2","2504","87","11","1","9","3","12","3","4","","81","45","9","68",".996","","","10","11739"
"Dansby Swanson","ATL","SS","380","379","3318.1","452","919","20","10","10","173","99","77","4","","","","","",".986","","29","11","18314"
"Brandon Crawford","SFG","SS","304","290","2562.1","400","751","33","16","17","151","82","68","10","","","","","",".972","","31","1","5343"
"Christian Vazquez","- - -","C","282","256","2277.1","2369","117","16","3","13","2","9","1","4","","127","46","17","82",".994","","","17","9774"
"Nolan Arenado","- - -","3B","334","334","2848.0","252","687","26","15","11","84","74","20","8","","","","","",".973","","31","38","9777"
"Matt Chapman","- - -","3B","339","336","2963.1","358","594","16","3","13","84","65","19","6","","","","","",".983","","19","14","16505"
"Carlos Correa","- - -","SS","337","332","2893.0","409","833","20","8","12","144","71","75","12","","","","","",".984","","14","30","14162"
"Martin Maldonado","HOU","C","283","274","2351.1","2449","115","12","1","11","0","9","0","4","","88","41","19","93",".995","","","-1","6887"
"Jacob Stallings","- - -","C","256","246","2143.1","2165","95","11","2","8","1","4","2","3","","124","35","3","80",".995","","","19","13723"
"Michael A. Taylor","- - -","CF","273","257","2271.0","663","19","6","4","2","0","3","0","0","","","","","",".991","","21","38","11489"
"Miguel Rojas","MIA","SS","303","293","2495.2","424","736","21","12","9","172","77","95","13","","","","","",".982","","9","21","7802"
"Myles Straw","- - -","CF","335","312","2833.0","801","18","4","1","3","0","4","0","0","","","","","",".995","","24","21","17620"
"Javier Baez","- - -","SS","289","286","2426.2","425","776","54","18","36","152","86","67","11","","","","","",".957","","12","5","12979"
"Manny Machado","SDP","3B","334","332","2845.1","232","583","26","11","15","62","49","15","7","","","","","",".969","","13","10","11493"
"Elvis Andrus","- - -","SS","315","308","2708.1","366","764","28","16","12","123","76","50","11","","","","","",".976","","8","-17","8709"
"Will Smith","LAD","C","260","248","2237.2","2339","85","9","1","7","1","3","1","6","","135","39","14","78",".996","","","10","19197"
"Jean Segura","PHI","2B","257","253","2143.0","419","636","15","11","4","148","58","99","8","","","","","",".986","","17","6","5933"
"J.P. Crawford","SEA","SS","357","355","3121.0","457","859","29","11","18","175","123","57","11","","","","","",".978","","-5","10","15491"
"Adam Frazier","- - -","2B","305","287","2494.1","466","640","12","9","3","154","56","98","9","","","","","",".989","","13","12","15223"
"Willy Adames","- - -","SS","325","318","2799.2","384","798","38","15","23","151","88","64","6","","","","","",".969","","-2","12","15986"
"Fernando Tatis Jr.","SDP","SS","159","158","1315.2","185","333","24","9","15","72","33","39","5","","","","","",".956","","10","-6","19709"
"Trent Grisham","SDP","CF","334","299","2682.2","749","8","8","5","3","0","3","0","0","","","","","",".990","","23","23","18564"
"Tim Anderson","CHW","SS","250","250","2156.1","316","582","28","15","13","114","69","39","12","","","","","",".970","","3","-2","15172"
"Jose Ramirez","CLE","3B","317","316","2747.2","235","512","31","20","11","70","54","16","5","","","","","",".960","","6","6","13510"
"Alex Bregman","HOU","3B","286","284","2506.1","226","493","17","8","9","50","40","12","2","","","","","",".977","","6","-1","17678"
"Trea Turner","- - -","SS","317","317","2684.0","358","679","36","19","17","117","70","51","7","","","","","",".966","","-2","-5","16252"
"Kyle Seager","SEA","3B","202","201","1753.1","138","406","18","13","5","50","39","14","2","","","","","",".968","","7","-6","9785"
"Marcus Semien","- - -","2B","295","294","2539.1","454","715","15","2","13","161","58","109","10","","","","","",".987","","14","22","12533"
"Jeremy Pena","HOU","SS","134","132","1165.0","146","347","19","10","9","62","40","22","2","","","","","",".963","","7","16","21636"
"Xander Bogaerts","BOS","SS","337","335","2856.2","382","893","24","13","11","170","94","77","10","","","","","",".982","","-7","-4","12161"
"Corey Seager","- - -","SS","279","277","2438.0","326","722","33","18","14","123","69","55","7","","","","","",".969","","-1","-6","13624"
"Yoan Moncada","CHW","3B","291","287","2490.0","205","500","27","15","12","58","56","6","2","","","","","",".963","","2","3","17232"
"Cedric Mullins II","BAL","CF","344","322","2822.1","847","16","6","2","4","0","6","0","0","","","","","",".993","","23","3","17929"
"Victor Robles","WSN","CF","284","254","2186.2","676","13","6","3","3","0","5","0","0","","","","","",".991","","9","8","18363"
"Jake Cronenworth","SDP","2B","279","268","2334.1","394","597","11","7","4","148","45","102","9","","","","","",".989","","7","7","18036"
"Santiago Espinal","TOR","2B","120","105","945.0","148","255","4","1","3","48","20","30","6","","","","","",".990","","10","4","19997"
"Cesar Hernandez","- - -","2B","326","323","2810.2","433","726","20","9","11","166","65","105","7","","","","","",".983","","0","-13","10556"
"Michael Harris II","ATL","CF","114","114","1021.0","252","3","2","2","0","0","0","0","0","","","","","",".992","","7","8","25931"
"Ozzie Albies","ATL","2B","249","247","2165.2","355","605","13","4","9","113","49","67","5","","","","","",".987","","7","-1","16556"
"Isiah Kiner-Falefa","- - -","SS","309","301","2666.0","375","798","34","17","17","139","92","47","18","","","","","",".972","","-9","23","16512"
"Bo Bichette","TOR","SS","331","331","2862.2","369","793","50","24","26","132","77","56","10","","","","","",".959","","-10","-14","19612"
"Amed Rosario","- - -","SS","305","294","2583.0","296","721","24","8","16","120","68","52","12","","","","","",".977","","-8","-5","15518"
"Cody Bellinger","LAD","CF","270","247","2233.1","594","4","6","3","3","0","0","0","0","","","","","",".990","","13","4","15998"
"Trevor Story","COL","SS","195","195","1666.1","278","509","24","8","16","129","61","69","11","","","","","",".970","","-6","15","12564"
"Mookie Betts","LAD","RF","286","269","2344.2","562","10","8","4","4","0","5","0","0","","","","","",".986","","9","30","13611"
"Jose Altuve","HOU","2B","327","325","2829.0","422","739","21","15","6","166","62","108","9","","","","","",".982","","3","-21","5417"
"Eugenio Suarez","- - -","3B","291","288","2503.0","228","494","24","14","10","48","43","9","3","","","","","",".968","","0","-9","12552"
"Steven Kwan","CLE","LF","123","110","1019.2","224","7","2","2","0","0","2","0","0","","","","","",".991","","10","21","24610"
"Alek Thomas","ARI","CF","112","102","907.1","311","4","3","3","0","0","2","0","0","","","","","",".991","","6","6","23792"
"Jeimer Candelario","DET","3B","269","264","2294.2","170","495","20","11","9","46","39","8","4","","","","","",".971","","-4","-2","13621"
"Kyle Tucker","HOU","LF","41","40","352.0","76","1","1","1","0","0","1","0","0","","","","","",".987","","3","3","18345"
"David Peralta","- - -","LF","295","274","2382.0","578","5","5","4","1","0","2","0","0","","","","","",".991","","12","-6","2136"
"Alex Gordon","KCR","LF","49","48","391.0","81","4","0","0","0","0","1","0","0","","","","","","1.000","","-1","1","5209"
"Brandon Nimmo","NYM","CF","279","271","2269.1","581","7","3","2","1","0","2","0","0","","","","","",".995","","5","-4","12927"
"Julio Rodriguez","SEA","CF","130","130","1126.2","357","3","6","4","2","0","0","0","0","","","","","",".984","","6","3","23697"
"Gio Urshela","- - -","3B","275","258","2257.0","191","498","17","9","8","59","54","10","2","","","","","",".976","","-11","5","10681"
"Jeimer Candelario","DET","1B","43","41","345.1","297","19","4","4","0","30","6","0","32","4","","","","",".988","","1","3","13621"
"Kolten Wong","- - -","2B","297","271","2364.2","405","613","21","12","9","134","56","79","5","","","","","",".980","","-5","10","12532"
"Alec Bohm","PHI","3B","276","267","2280.2","185","459","32","15","16","39","43","0","2","","","","","",".953","","-11","-36","21618"
"Seiya Suzuki","CHC","RF","106","104","905.1","201","3","4","2","2","0","2","0","0","","","","","",".981","","-4","-4","30116"
"Bryan Reynolds","PIT","CF","281","271","2326.0","634","6","4","2","2","0","2","0","0","","","","","",".994","","3","-17","19326"
"Kyle Tucker","HOU","RF","287","277","2455.2","546","15","5","2","3","0","3","0","0","","","","","",".991","","6","27","18345"
"Austin Riley","ATL","3B","361","355","3118.0","217","678","34","17","17","40","36","7","3","","","","","",".963","","-16","9","18360"
"Michael Conforto","NYM","RF","169","163","1394.2","284","13","5","2","3","0","3","0","0","","","","","",".983","","-4","-4","16376"
"Christian Walker","ARI","1B","300","287","2524.1","2121","172","14","10","4","195","23","4","192","13","","","","",".994","","18","20","13419"
"Jorge Polanco","MIN","2B","217","208","1804.2","331","509","20","12","8","119","45","76","5","","","","","",".977","","-10","2","13152"
"Spencer Torkelson","DET","1B","109","105","925.0","805","51","2","2","0","73","2","1","73","8","","","","",".998","","-1","-3","27465"
"Rafael Devers","BOS","3B","346","343","2960.0","301","608","50","22","28","65","53","16","10","","","","","",".948","","-19","-23","17350"
"Starling Marte","NYM","RF","116","116","993.2","209","9","1","0","1","0","1","0","0","","","","","",".995","","-2","4","9241"
"Teoscar Hernandez","TOR","RF","267","258","2173.1","509","23","10","8","2","0","4","0","0","","","","","",".982","","-10","-8","13066"
"Hunter Renfroe","- - -","RF","295","283","2494.2","512","28","19","10","9","0","5","0","0","","","","","",".966","","-5","1","15464"
"Jonathan India","CIN","2B","234","229","1968.1","373","513","25","9","15","103","36","68","5","","","","","",".973","","-16","-14","21523"
"Lourdes Gurriel Jr.","TOR","LF","277","268","2278.0","454","22","8","2","6","0","4","0","0","","","","","",".983","","-12","5","19238"
"Carlos Santana","- - -","1B","272","270","2353.1","1987","136","13","10","1","204","14","3","203","18","","","","",".994","","5","10","2396"
"Anthony Rizzo","- - -","1B","316","309","2698.1","2305","234","12","9","1","193","16","2","197","20","","","","",".995","","6","-5","3473"
"Christian Yelich","MIL","LF","273","268","2333.2","419","8","2","2","0","0","1","0","0","","","","","",".995","","-5","-9","11477"
"Juan Soto","- - -","RF","301","301","2567.1","607","8","9","7","2","0","1","0","0","","","","","",".986","","-7","1","20123"
"C.J. Cron","- - -","1B","264","262","2231.0","2186","161","19","15","4","210","21","0","219","14","","","","",".992","","-1","8","12546"
"Jose Abreu","CHW","1B","317","316","2759.1","2364","113","21","17","3","211","26","1","214","16","","","","",".992","","4","5","15676"
"Josh Bell","- - -","1B","278","270","2313.0","1902","182","18","9","9","163","6","2","171","22","","","","",".991","","-3","-3","13145"
"Paul Goldschmidt","STL","1B","333","332","2828.0","2598","224","4","1","2","250","25","2","260","23","","","","",".999","","4","12","9218"
