team,team_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Astros,HOU,4434,14,34.8,116.4,89.5,93,87.2,459,171,391,1811,40.8,342,7.7,5.5
Blue Jays,TOR,4303,13.6,34.1,117.4,90.3,94.3,87.5,470,171,400,1822,42.3,418,9.7,6.9
Royals,KC,4252,12.7,32.5,115.1,89.2,93.3,86.3,464,163,404,1665,39.2,295,6.9,4.9
Red Sox,BOS,4161,13.7,35.3,118.6,89.9,94.4,86.5,474,171,405,1767,42.5,411,9.9,6.7
Nationals,WSH,4151,9.5,32.9,116.6,88.6,92.9,85.7,463,151,404,1633,39.3,288,6.9,4.7
Padres,SD,4142,10.5,31.6,119.6,89.4,93.6,86.9,486,155,402,1684,40.7,314,7.6,5.2
Dodgers,LAD,4114,14.7,33.6,115.3,89.5,93.6,85.7,472,174,400,1657,40.3,360,8.8,5.8
Athletics,OAK,4112,14.1,34,115.3,89,93.4,85.5,472,170,400,1629,39.6,358,8.7,5.9
Rockies,COL,4102,11.3,31.7,114.7,87.7,92.1,84.6,478,161,411,1481,36.1,270,6.6,4.5
Angels,LAA,4098,12.3,33,119,87.9,91.9,85.3,470,160,403,1437,35.1,319,7.8,5.3
Cardinals,STL,4094,14,33.7,115,88.7,92.9,85.2,470,169,402,1530,37.4,322,7.9,5.4
D-backs,AZ,4084,12.9,32.8,116,87.7,91.8,85.2,457,163,402,1461,35.8,230,5.6,3.8
Reds,CIN,4078,13.2,35.1,114.1,88.4,93.1,84.5,466,167,402,1554,38.1,347,8.5,5.7
Pirates,PIT,4076,10.3,32.9,118.2,87.5,91.1,85.1,469,155,401,1396,34.2,219,5.4,3.7
Twins,MIN,4075,13.1,34.8,117.1,89.9,94.2,86.4,495,169,408,1695,41.6,416,10.2,6.9
Rangers,TEX,4071,10.9,31.6,115.1,87.9,92.5,85,465,155,403,1453,35.7,270,6.6,4.6
Giants,SF,4067,14.8,35.2,113.2,88.7,93.2,84.5,467,174,397,1579,38.8,377,9.3,6.1
Phillies,PHI,4054,11.6,31.8,116.3,88.4,92.4,85.7,468,156,400,1500,37,294,7.3,4.9
White Sox,CWS,4031,10.4,33.1,117.7,89.2,93.2,86.5,485,157,402,1592,39.7,313,7.8,5.2
Rays,TB,4012,12.6,32.5,117.5,88.9,93.2,86,472,166,397,1600,39.9,336,8.4,5.4
Orioles,BAL,4011,13.3,33.8,114.6,88.3,92.5,85.7,455,164,397,1479,36.9,306,7.6,5.1
Guardians,CLE,4001,12.1,32,114.9,88.9,92.9,86.6,471,160,399,1541,38.6,307,7.7,5.2
Braves,ATL,3985,13.8,34.7,117.9,89.5,93.9,85.3,483,174,406,1627,40.8,392,9.8,6.5
Brewers,MIL,3957,12.5,33.3,116.7,88.4,92.9,85.2,464,163,402,1518,38.4,299,7.6,4.9
Tigers,DET,3929,13.3,35.8,117.1,88.4,92.3,85.5,450,167,393,1497,38.1,302,7.7,5.1
Mariners,SEA,3908,14,34.1,114.1,87.9,92.3,84.5,460,167,397,1455,37.2,322,8.2,5.4
Yankees,NYY,3893,12.5,33.4,122.2,89.9,94.7,86.3,472,164,399,1657,42.8,380,9.8,6.3
Mets,NYM,3875,11.9,33.4,118.4,88.4,92.8,85.5,469,160,400,1469,37.9,285,7.4,4.9
Marlins,MIA,3856,11,31.5,115.7,88.1,92.2,85.9,460,154,405,1433,37.2,247,6.4,4.2
Cubs,CHC,3780,11.7,31.5,116.7,88.7,92.6,86.1,464,158,400,1466,38.8,298,7.9,5
