team,team_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
D-backs,AZ,4399,14.2,34.5,114.9,89.1,93,86.1,483,173,405,1735,39.4,360,8.2,5.8
Orioles,BAL,4387,14.7,35.3,121.1,89.9,93.8,87.1,471,172,401,1812,41.3,412,9.4,6.6
Rangers,TEX,4287,13,34,118.5,89.3,93.1,86.5,472,168,401,1684,39.3,337,7.9,5.5
Tigers,DET,4250,12.3,31.9,118.8,89.6,93.6,87.2,473,161,402,1736,40.8,369,8.7,6
Athletics,OAK,4222,14.6,34.2,116.2,88.9,92.9,86,472,169,399,1611,38.2,335,7.9,5.5
Mariners,SEA,4221,14.2,33.9,116.5,89.5,93.5,86.7,465,169,397,1679,39.8,354,8.4,5.8
Twins,MIN,4214,13.6,33.7,118.3,89.7,93.7,86.6,456,170,400,1767,41.9,392,9.3,6.5
Rockies,COL,4172,11.2,33.1,116,88.8,92.9,85.7,486,162,407,1582,37.9,297,7.1,4.9
Cubs,CHC,4146,10.9,34,117.1,88.6,92.9,85.4,481,159,402,1632,39.4,336,8.1,5.4
Pirates,PIT,4144,13.6,34.7,117.9,88.8,93.4,85,470,170,401,1586,38.3,336,8.1,5.5
Royals,KC,4129,12.6,35.4,122.2,89.5,93.6,86.8,485,167,409,1686,40.8,373,9,6.1
Cardinals,STL,4128,11.9,33.4,117.1,88.6,92.7,85.7,461,161,404,1550,37.5,290,7,4.8
Nationals,WSH,4104,13.3,33.7,116,89,93.4,85.6,475,168,401,1630,39.7,381,9.3,6.3
Giants,SF,4095,10.8,31.5,115.7,88.6,92.5,86.1,466,156,403,1588,38.8,262,6.4,4.4
Angels,LAA,4073,11.5,33.2,116.4,88.1,92.7,84.9,457,161,403,1544,37.9,301,7.4,4.9
Rays,TB,4029,13.6,33.7,118.6,88.5,92.8,85.5,461,166,400,1500,37.2,341,8.5,5.7
Marlins,MIA,4028,10.8,32.5,117.2,88.3,92.9,85,469,158,405,1523,37.8,303,7.5,5.1
Red Sox,BOS,3995,11.8,34.2,118.4,88.6,92.8,86,495,160,398,1580,39.5,305,7.6,5
Guardians,CLE,3993,12.4,34.3,120.1,89.2,93.8,85.9,475,166,402,1611,40.4,353,8.8,5.9
Reds,CIN,3992,11.7,32.2,118.2,88,92.1,85.1,478,158,398,1491,37.3,283,7.1,4.6
Phillies,PHI,3991,11.6,31.6,119.6,87.7,92.2,84.9,474,154,400,1472,36.9,275,6.9,4.6
Astros,HOU,3985,11.7,32.3,119.6,88.8,93,86.1,464,157,394,1511,37.9,291,7.3,4.8
Braves,ATL,3943,11.1,32.4,119.2,89,92.8,86.4,470,160,404,1524,38.7,306,7.8,5.2
Padres,SD,3935,12.5,34.6,115.3,88.9,93.1,85.6,456,167,400,1539,39.1,338,8.6,5.6
Blue Jays,TOR,3900,12.6,32.8,120.2,88.9,93.3,86.2,463,163,399,1535,39.4,330,8.5,5.6
Yankees,NYY,3879,13.8,32.6,117.2,87.8,92.4,84.6,472,165,393,1411,36.6,299,7.7,5
Dodgers,LAD,3796,12.4,30.7,118.4,87.2,92.4,83.8,467,156,397,1317,34.7,238,6.3,4
Mets,NYM,3782,12.3,33.6,117.9,88.8,93.3,85.1,451,164,405,1462,38.7,303,8,5.3
Brewers,MIL,3756,11.5,32.7,115.9,87.7,92,84.4,466,158,404,1355,36.1,252,6.7,4.2
White Sox,CWS,3731,14,33.2,117.4,88.8,92.8,86.1,453,166,396,1435,38.7,285,7.6,4.9
