last_name, first_name,player_id,year,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_game,b_hit_by_pitch,b_sac_bunt,b_sac_fly,r_run,
Cruz Jr., Nelson,443558,2022,448,507,105,79,16,0,10,119,49,.234,.337,.312,.649,64,124,4,0,3,50,
Blackmon, Charlie,453568,2022,530,577,140,96,22,6,16,109,32,.264,.419,.312,.731,78,135,8,4,3,60,
McCutchen, Andrew,457705,2022,515,580,122,80,25,0,17,124,57,.237,.384,.316,.700,69,134,4,0,4,66,
Turner, Justin,457759,2022,468,532,130,81,36,0,13,89,50,.278,.438,.350,.788,81,128,6,0,8,61,
Andrus, Elvis,462101,2022,535,577,133,84,32,0,17,92,39,.249,.404,.303,.707,58,149,3,0,0,66,
Santana, Carlos,467793,2022,431,506,87,50,18,0,19,88,71,.202,.376,.316,.692,60,131,2,0,2,52,
Gurriel, Yuli,493329,2022,545,584,132,84,40,0,8,73,30,.242,.360,.288,.647,53,146,6,0,3,53,
Rojas, Miguel,500743,2022,471,507,111,84,19,2,6,61,26,.236,.323,.282,.605,36,140,6,1,3,34,
Escobar, Eduardo,500871,2022,495,542,119,69,26,4,20,129,40,.240,.430,.295,.726,69,136,1,0,6,58,
Pham, Tommy,502054,2022,554,622,131,90,23,1,17,167,56,.236,.374,.312,.686,63,144,7,0,5,89,
Martinez, J.D.,502110,2022,533,596,146,86,43,1,16,145,52,.274,.448,.341,.789,62,139,5,0,5,76,
Goldschmidt, Paul,502671,2022,561,651,178,102,41,0,35,141,79,.317,.578,.402,.980,115,151,5,0,4,106,
Altuve, Jose,514888,2022,527,604,158,91,39,0,28,87,66,.300,.533,.387,.921,57,141,10,0,1,103,
Hernandez, Cesar,514917,2022,560,617,139,106,28,4,1,114,45,.248,.318,.310,.627,34,147,7,3,2,64,
Marte, Starling,516782,2022,466,505,136,91,24,5,16,97,26,.292,.468,.347,.814,63,118,13,0,0,76,
Donaldson, Josh,518626,2022,478,546,106,63,28,0,15,148,54,.222,.374,.308,.682,62,132,8,0,6,59,
Freeman, Freddie,518692,2022,612,708,199,129,47,2,21,102,84,.325,.511,.407,.918,100,159,5,0,7,117,
LeMahieu, DJ,518934,2022,467,541,122,92,18,0,12,71,67,.261,.377,.357,.734,46,125,4,1,2,74,
